-11.0788 11.8770 -8.331
-9.7739 11.8656 -7.362
-8.4696 11.8556 -6.389
-7.1658 11.8470 -5.413
-5.8623 11.8397 -4.433
-4.5592 11.8339 -3.450
-3.2564 11.8296 -2.466
-1.9542 11.8266 -1.480
-0.6512 11.8252 -0.494
0.6512 11.8252 0.494
1.9542 11.8266 1.480
3.2564 11.8296 2.466
4.5592 11.8339 3.450
5.8623 11.8397 4.433
7.1658 11.8470 5.413
8.4696 11.8556 6.389
9.7739 11.8656 7.362
11.0788 11.8770 8.331
-12.5059 21.6230 -8.331
-11.0361 21.6344 -7.362
-9.5657 21.6444 -6.389
-8.0949 21.6530 -5.413
-6.6236 21.6603 -4.433
-5.1521 21.6661 -3.450
-3.6802 21.6704 -2.466
-2.2087 21.6734 -1.480
-0.7361 21.6748 -0.494
0.7361 21.6748 0.494
2.2087 21.6734 1.480
3.6802 21.6704 2.466
5.1521 21.6661 3.450
6.6236 21.6603 4.433
8.0949 21.6530 5.413
9.5657 21.6444 6.389
11.0361 21.6344 7.362
12.5059 21.6230 8.331 
-15.5146 31.5889 -9.240
-14.2203 31.5789 -8.481
-12.9263 31.5696 -7.720
-11.6326 31.5613 -6.956
-10.3393 31.5537 -6.190
-9.0462 31.5470 -5.421
-7.7534 31.5412 -4.650
-6.4609 31.5363 -3.878
-5.1685 31.5322 -3.104
-3.8762 31.5291 -2.329
-2.5841 31.5268 -1.553
-1.2920 31.5255 -0.777
0.0000 31.5250 0.000
1.2920 31.5255 0.777
2.5841 31.5268 1.553
3.8762 31.5291 2.329
5.1685 31.5322 3.104
6.4609 31.5363 3.878
7.7534 31.5412 4.650
9.0462 31.5470 5.421
10.3393 31.5537 6.190
11.6326 31.5613 6.956
12.9263 31.5696 7.720
14.2203 31.5789 8.481
15.5146 31.5889 9.240 
-17.0962 41.3111 -9.240
-15.6730 41.3211 -8.481
-14.2495 41.3304 -7.720
-12.8255 41.3387 -6.956
-11.4013 41.3463 -6.190
-9.9768 41.3530 -5.421
-8.5520 41.3588 -4.650
-7.1270 41.3637 -3.878
-5.7018 41.3678 -3.104
-4.2765 41.3709 -2.329
-2.8511 41.3732 -1.553
-1.4255 41.3745 -0.777
0.0000 41.3750 0.000
1.4255 41.3745 0.777
2.8511 41.3732 1.553     
4.2765 41.3709 2.329
5.7018 41.3678 3.104
7.1270 41.3637 3.878
8.5520 41.3588 4.650
9.9768 41.3530 5.421
11.4013 41.3463 6.190
12.8255 41.3387 6.956
14.2495 41.3304 7.720
15.6730 41.3211 8.481
17.0962 41.3111 9.240
