53 Al24                  1000130240 1 100 Ion  39 2.23492e+01 0.00000e+00 0 0 0 -1 0 0
54 Al24[425.800]         1000130241 1 100 Ion  39 2.23496e+01 0.00000e+00 0 0 0 -1 0 0
55 Al25                  1000130250 1 100 Ion  39 2.32718e+01 0.00000e+00 0 0 0 -1 0 0
56 Al25[451.700]         1000130259 1 100 Ion  39 2.32722e+01 0.00000e+00 0 0 0 -1 0 0
57 Al26                  1000130260 1 100 Ion  39 2.42000e+01 0.00000e+00 0 0 0 -1 0 0
58 Al26[416.852]         1000130269 1 100 Ion  39 2.42004e+01 0.00000e+00 0 0 0 -1 0 0
59 Al26[471.879]         1000130269 1 100 Ion  39 2.42005e+01 0.00000e+00 0 0 0 -1 0 0
60 Al26[501.284]         1000130269 1 100 Ion  39 2.42005e+01 0.00000e+00 0 0 0 -1 0 0
61 Al27                  1000130270 1 100 Ion  39 2.51265e+01 0.00000e+00 0 0 0 -1 0 0
62 Al28                  1000130280 1 100 Ion  39 2.60583e+01 0.00000e+00 0 0 0 -1 0 0
63 Al28[30.638]          1000130289 1 100 Ion  39 2.60584e+01 0.00000e+00 0 0 0 -1 0 0
64 Al29                  1000130290 1 100 Ion  39 2.69885e+01 0.00000e+00 0 0 0 -1 0 0
65 Al29[3346.833]        1000130299 1 100 Ion  39 2.69918e+01 0.00000e+00 0 0 0 -1 0 0
66 Al29[3379.006]        1000130299 1 100 Ion  39 2.69919e+01 0.00000e+00 0 0 0 -1 0 0
67 Al29[3386.423]        1000130299 1 100 Ion  39 2.69919e+01 0.00000e+00 0 0 0 -1 0 0
68 Al29[3433.000]        1000130299 1 100 Ion  39 2.69919e+01 0.00000e+00 0 0 0 -1 0 0
69 Al30                  1000130300 1 100 Ion  39 2.79223e+01 0.00000e+00 0 0 0 -1 0 0
70 Al30[243.900]         1000130309 1 100 Ion  39 2.79226e+01 0.00000e+00 0 0 0 -1 0 0
71 Al30[281.350]         1000130309 1 100 Ion  39 2.79226e+01 0.00000e+00 0 0 0 -1 0 0
72 Al31                  1000130310 1 100 Ion  39 2.88547e+01 0.00000e+00 0 0 0 -1 0 0
73 Al32                  1000130320 1 100 Ion  39 2.97901e+01 0.00000e+00 0 0 0 -1 0 0
74 Al32[956.600]         1000130329 1 100 Ion  39 2.97910e+01 0.00000e+00 0 0 0 -1 0 0
75 Al33                  1000130330 1 100 Ion  39 3.07242e+01 0.00000e+00 0 0 0 -1 0 0
76 Al34                  1000130340 1 100 Ion  39 3.16611e+01 0.00000e+00 0 0 0 -1 0 0
77 Alpha                 1000020040 1 100 Ion  6 3.72840e+00 1.69160e-33 0 0 0 -1 0 0
78 Ar34                  1000180340 1 100 Ion  54 3.16432e+01 0.00000e+00 0 0 0 -1 0 0
79 Ar35                  1000180350 1 100 Ion  54 3.25701e+01 0.00000e+00 0 0 0 -1 0 0
80 Ar36                  1000180360 1 100 Ion  54 3.34944e+01 0.00000e+00 0 0 0 -1 0 0
81 Ar37                  1000180370 1 100 Ion  54 3.44251e+01 0.00000e+00 0 0 0 -1 0 0
82 Ar37[1611.280]        1000180379 1 100 Ion  54 3.44268e+01 0.00000e+00 0 0 0 -1 0 0
83 Ar37[1643.653]        1000180379 1 100 Ion  54 3.44268e+01 0.00000e+00 0 0 0 -1 0 0
84 Ar37[1663.071]        1000180379 1 100 Ion  54 3.44268e+01 0.00000e+00 0 0 0 -1 0 0
85 Ar37[1782.761]        1000180379 1 100 Ion  54 3.44269e+01 0.00000e+00 0 0 0 -1 0 0
86 Ar38                  1000180380 1 100 Ion  54 3.53529e+01 0.00000e+00 0 0 0 -1 0 0
87 Ar39                  1000180390 1 100 Ion  54 3.62858e+01 0.00000e+00 0 0 0 -1 0 0
88 Ar39[1517.542]        1000180399 1 100 Ion  54 3.62874e+01 0.00000e+00 0 0 0 -1 0 0
89 Ar39[1709.665]        1000180399 1 100 Ion  54 3.62876e+01 0.00000e+00 0 0 0 -1 0 0
90 Ar40                  1000180400 1 100 Ion  54 3.72155e+01 0.00000e+00 0 0 0 -1 0 0
91 Ar40[3998.552]        1000180409 1 100 Ion  54 3.72195e+01 0.00000e+00 0 0 0 -1 0 0
92 Ar40[4031.554]        1000180409 1 100 Ion  54 3.72196e+01 0.00000e+00 0 0 0 -1 0 0
93 Ar40[4414.080]        1000180409 1 100 Ion  54 3.72200e+01 0.00000e+00 0 0 0 -1 0 0
94 Ar40[4423.383]        1000180409 1 100 Ion  54 3.72200e+01 0.00000e+00 0 0 0 -1 0 0
95 Ar41                  1000180410 1 100 Ion  54 3.81490e+01 0.00000e+00 0 0 0 -1 0 0
96 Ar42                  1000180420 1 100 Ion  54 3.90791e+01 0.00000e+00 0 0 0 -1 0 0
97 Ar43                  1000180430 1 100 Ion  54 4.00130e+01 0.00000e+00 0 0 0 -1 0 0
98 Ar44                  1000180440 1 100 Ion  54 4.09439e+01 0.00000e+00 0 0 0 -1 0 0
99 Ar45                  1000180450 1 100 Ion  54 4.18783e+01 0.00000e+00 0 0 0 -1 0 0
100 Ar46                  1000180460 1 100 Ion  54 4.28098e+01 0.00000e+00 0 0 0 -1 0 0
101 Ar47                  1000180470 1 100 Ion  54 4.37458e+01 0.00000e+00 0 0 0 -1 0 0
102 As100                 1000331000 1 100 Ion  99 9.31482e+01 0.00000e+00 0 0 0 -1 0 0
103 As69                  1000330690 1 100 Ion  99 6.41932e+01 0.00000e+00 0 0 0 -1 0 0
104 As70                  1000330700 1 100 Ion  99 6.51234e+01 0.00000e+00 0 0 0 -1 0 0
105 As70[566.520]         1000330709 1 100 Ion  99 6.51240e+01 0.00000e+00 0 0 0 -1 0 0
106 As71                  1000330710 1 100 Ion  99 6.60514e+01 0.00000e+00 0 0 0 -1 0 0
107 As71[1000.310]        1000330719 1 100 Ion  99 6.60524e+01 0.00000e+00 0 0 0 -1 0 0
108 As72                  1000330720 1 100 Ion  99 6.69825e+01 0.00000e+00 0 0 0 -1 0 0
109 As72[46.025]          1000330729 1 100 Ion  99 6.69826e+01 0.00000e+00 0 0 0 -1 0 0
110 As72[562.850]         1000330729 1 100 Ion  99 6.69831e+01 0.00000e+00 0 0 0 -1 0 0
111 As73                  1000330730 1 100 Ion  99 6.79113e+01 0.00000e+00 0 0 0 -1 0 0
112 As73[427.906]         1000330731 1 100 Ion  99 6.79117e+01 0.00000e+00 0 0 0 -1 0 0
113 As73[67.039]          1000330739 1 100 Ion  99 6.79114e+01 0.00000e+00 0 0 0 -1 0 0
114 As74                  1000330740 1 100 Ion  99 6.88429e+01 0.00000e+00 0 0 0 -1 0 0
115 As74[259.187]         1000330749 1 100 Ion  99 6.88432e+01 0.00000e+00 0 0 0 -1 0 0
116 As74[271.606]         1000330749 1 100 Ion  99 6.88432e+01 0.00000e+00 0 0 0 -1 0 0
117 As75                  1000330750 1 100 Ion  99 6.97722e+01 0.00000e+00 0 0 0 -1 0 0
118 As75[198.606]         1000330759 1 100 Ion  99 6.97724e+01 0.00000e+00 0 0 0 -1 0 0
119 As76                  1000330760 1 100 Ion  99 7.07045e+01 0.00000e+00 0 0 0 -1 0 0
120 As76[44.425]          1000330761 1 100 Ion  99 7.07045e+01 0.00000e+00 0 0 0 -1 0 0
121 As77                  1000330770 1 100 Ion  99 7.16343e+01 0.00000e+00 0 0 0 -1 0 0
122 As77[475.480]         1000330771 1 100 Ion  99 7.16348e+01 0.00000e+00 0 0 0 -1 0 0
123 As78                  1000330780 1 100 Ion  99 7.25669e+01 0.00000e+00 0 0 0 -1 0 0
124 As78[364.700]         1000330789 1 100 Ion  99 7.25673e+01 0.00000e+00 0 0 0 -1 0 0
125 As79                  1000330790 1 100 Ion  99 7.34976e+01 0.00000e+00 0 0 0 -1 0 0
126 As80                  1000330800 1 100 Ion  99 7.44305e+01 0.00000e+00 0 0 0 -1 0 0
127 As81                  1000330810 1 100 Ion  99 7.53617e+01 0.00000e+00 0 0 0 -1 0 0
128 As96                  1000330960 1 100 Ion  99 8.93977e+01 0.00000e+00 0 0 0 -1 0 0
129 Au177                 1000791770 1 100 Ion  237 1.64813e+02 0.00000e+00 0 0 0 -1 0 0
130 Au178                 1000791780 1 100 Ion  237 1.65744e+02 0.00000e+00 0 0 0 -1 0 0
131 Au179                 1000791790 1 100 Ion  237 1.66673e+02 0.00000e+00 0 0 0 -1 0 0
132 Au180                 1000791800 1 100 Ion  237 1.67603e+02 0.00000e+00 0 0 0 -1 0 0
133 Au181                 1000791810 1 100 Ion  237 1.68533e+02 0.00000e+00 0 0 0 -1 0 0
134 Au182                 1000791820 1 100 Ion  237 1.69464e+02 0.00000e+00 0 0 0 -1 0 0
135 Au183                 1000791830 1 100 Ion  237 1.70393e+02 0.00000e+00 0 0 0 -1 0 0
136 Au184                 1000791840 1 100 Ion  237 1.71325e+02 0.00000e+00 0 0 0 -1 0 0
137 Au185                 1000791850 1 100 Ion  237 1.72255e+02 0.00000e+00 0 0 0 -1 0 0
138 Au185[220.100]        1000791859 1 100 Ion  237 1.72255e+02 0.00000e+00 0 0 0 -1 0 0
139 Au185[8.900]          1000791859 1 100 Ion  237 1.72255e+02 0.00000e+00 0 0 0 -1 0 0
140 Au186                 1000791860 1 100 Ion  237 1.73186e+02 0.00000e+00 0 0 0 -1 0 0
141 Au186[455.100X]       1000791869 1 100 Ion  237 1.73187e+02 0.00000e+00 0 0 0 -1 0 0
142 Au187                 1000791870 1 100 Ion  237 1.74117e+02 0.00000e+00 0 0 0 -1 0 0
143 Au187[120.330]        1000791871 1 100 Ion  237 1.74117e+02 0.00000e+00 0 0 0 -1 0 0
144 Au187[171.810]        1000791879 1 100 Ion  237 1.74117e+02 0.00000e+00 0 0 0 -1 0 0
145 Au187[19.530]         1000791879 1 100 Ion  237 1.74117e+02 0.00000e+00 0 0 0 -1 0 0
146 Au187[223.900]        1000791879 1 100 Ion  237 1.74117e+02 0.00000e+00 0 0 0 -1 0 0
147 Au187[2669.400]       1000791879 1 100 Ion  237 1.74119e+02 0.00000e+00 0 0 0 -1 0 0
148 Au188                 1000791880 1 100 Ion  237 1.75049e+02 0.00000e+00 0 0 0 -1 0 0
149 Au189                 1000791890 1 100 Ion  237 1.75979e+02 0.00000e+00 0 0 0 -1 0 0
150 Au189[2554.700]       1000791899 1 100 Ion  237 1.75981e+02 0.00000e+00 0 0 0 -1 0 0
151 Au189[9.920]          1000791899 1 100 Ion  237 1.75979e+02 0.00000e+00 0 0 0 -1 0 0
152 Au190                 1000791900 1 100 Ion  237 1.76911e+02 0.00000e+00 0 0 0 -1 0 0
153 Au190[2172.000X]      1000791909 1 100 Ion  237 1.76913e+02 0.00000e+00 0 0 0 -1 0 0
154 Au191                 1000791910 1 100 Ion  237 1.77842e+02 0.00000e+00 0 0 0 -1 0 0
155 Au191[2489.600]       1000791919 1 100 Ion  237 1.77844e+02 0.00000e+00 0 0 0 -1 0 0
156 Au191[2502.500]       1000791919 1 100 Ion  237 1.77844e+02 0.00000e+00 0 0 0 -1 0 0
157 Au191[266.200]        1000791911 1 100 Ion  237 1.77842e+02 0.00000e+00 0 0 0 -1 0 0
158 Au192                 1000791920 1 100 Ion  237 1.78774e+02 0.00000e+00 0 0 0 -1 0 0
159 Au192[2582.600]       1000791929 1 100 Ion  237 1.78777e+02 0.00000e+00 0 0 0 -1 0 0
160 Au192[431.600]        1000791922 1 100 Ion  237 1.78775e+02 0.00000e+00 0 0 0 -1 0 0
161 Au193                 1000791930 1 100 Ion  237 1.79705e+02 0.00000e+00 0 0 0 -1 0 0
162 Au193[2380.962]       1000791939 1 100 Ion  237 1.79707e+02 0.00000e+00 0 0 0 -1 0 0
163 Au193[2486.500]       1000791939 1 100 Ion  237 1.79708e+02 0.00000e+00 0 0 0 -1 0 0
164 Au194                 1000791940 1 100 Ion  237 1.80638e+02 0.00000e+00 0 0 0 -1 0 0
165 Au194[475.800]        1000791942 1 100 Ion  237 1.80638e+02 0.00000e+00 0 0 0 -1 0 0
166 Au195                 1000791950 1 100 Ion  237 1.81569e+02 0.00000e+00 0 0 0 -1 0 0
167 Au195[1813.100]       1000791959 1 100 Ion  237 1.81571e+02 0.00000e+00 0 0 0 -1 0 0
168 Au195[1979.490]       1000791959 1 100 Ion  237 1.81571e+02 0.00000e+00 0 0 0 -1 0 0
169 Au196                 1000791960 1 100 Ion  237 1.82502e+02 0.00000e+00 0 0 0 -1 0 0
170 Au196[212.800]        1000791969 1 100 Ion  237 1.82502e+02 0.00000e+00 0 0 0 -1 0 0
171 Au196[84.656]         1000791961 1 100 Ion  237 1.82502e+02 0.00000e+00 0 0 0 -1 0 0
172 Au197                 1000791970 1 100 Ion  237 1.83433e+02 0.00000e+00 0 0 0 -1 0 0
173 Au197[409.150]        1000791971 1 100 Ion  237 1.83434e+02 0.00000e+00 0 0 0 -1 0 0
174 Au197[77.351]         1000791979 1 100 Ion  237 1.83433e+02 0.00000e+00 0 0 0 -1 0 0
175 Au198                 1000791980 1 100 Ion  237 1.84366e+02 0.00000e+00 0 0 0 -1 0 0
176 Au199                 1000791990 1 100 Ion  237 1.85298e+02 0.00000e+00 0 0 0 -1 0 0
177 Au200                 1000792000 1 100 Ion  237 1.86232e+02 0.00000e+00 0 0 0 -1 0 0
178 Au201                 1000792010 1 100 Ion  237 1.87164e+02 0.00000e+00 0 0 0 -1 0 0
179 Au202                 1000792020 1 100 Ion  237 1.88098e+02 0.00000e+00 0 0 0 -1 0 0
180 Au203                 1000792030 1 100 Ion  237 1.89030e+02 0.00000e+00 0 0 0 -1 0 0
181 Au204                 1000792040 1 100 Ion  237 1.89964e+02 0.00000e+00 0 0 0 -1 0 0
182 Au205                 1000792050 1 100 Ion  237 1.90898e+02 0.00000e+00 0 0 0 -1 0 0
183 B10                   1000050100 1 100 Ion  15 9.32444e+00 0.00000e+00 0 0 0 -1 0 0
184 B10[14.491]           1000050109 1 100 Ion  15 9.32445e+00 0.00000e+00 0 0 0 -1 0 0
185 B10[633.332]          1000050109 1 100 Ion  15 9.32507e+00 0.00000e+00 0 0 0 -1 0 0
186 B10[718.380]          1000050109 1 100 Ion  15 9.32516e+00 0.00000e+00 0 0 0 -1 0 0
187 B10[806.513]          1000050109 1 100 Ion  15 9.32524e+00 0.00000e+00 0 0 0 -1 0 0
188 B11                   1000050110 1 100 Ion  15 1.02525e+01 0.00000e+00 0 0 0 -1 0 0
189 B12                   1000050120 1 100 Ion  15 1.11887e+01 0.00000e+00 0 0 0 -1 0 0
190 B13                   1000050130 1 100 Ion  15 1.21234e+01 0.00000e+00 0 0 0 -1 0 0
191 B14                   1000050140 1 100 Ion  15 1.30620e+01 0.00000e+00 0 0 0 -1 0 0
192 B15                   1000050150 1 100 Ion  15 1.39988e+01 0.00000e+00 0 0 0 -1 0 0
193 B16                   1000050160 1 100 Ion  15 1.49385e+01 0.00000e+00 0 0 0 -1 0 0
194 B7                    1000050070 1 100 Ion  15 6.54558e+00 0.00000e+00 0 0 0 -1 0 0
195 B8                    1000050080 1 100 Ion  15 7.47232e+00 0.00000e+00 0 0 0 -1 0 0
