0 0
1.705 2.10651
3.41 4.06498
5.115 5.83802
6.82 7.90864
8.525 9.69563
10.23 11.5818
13.64 15.6682
17.05 19.5672
25.575 29.5774
34.1 39.8492
42.625 49.9282
51.15 59.888
59.675 70.0796
68.2 80.007
76.725 89.9135
85.25 100.142
102.3 120.49
127.875 150.773
153.45 181.095
179.025 212.089
204.6 242.074
230.175 272.727
255.75 302.894
281.325 333.352
306.9 364.282
332.475 394.58
358.05 424.539
383.625 454.601
409.2 485.062
434.775 515.308
460.35 546.361
485.925 576.589
511.5 606.984
537.075 637.462
562.65 667.387
588.225 697.961
613.8 728.591
639.375 759.065
664.95 789.156
690.525 818.979
716.1 849.066
741.675 878.798
767.25 907.891
792.825 937.118
818.4 964.51
843.975 988.377
895.125 1023
1023 1023
