4.6 0
3.2 3.2
-0 4.6
-3.2 3.2
-4.6 -0
-3.2 -3.2
0 -4.6
3.2 -3.2
7.8 0
6.4 3.2
6.4 6.4
3.2 6.4
-0 7.8
-3.2 6.4
-6.4 6.4
-6.4 3.2
-7.8 -0
-6.4 -3.2
-6.4 -6.4
-3.2 -6.4
0 -7.8
3.2 -6.4
6.4 -6.4
6.4 -3.2
11 0
9.6 3.2
9.6 6.4
9.6 9.6
6.4 9.6
3.2 9.6
-0 11
-3.2 9.6
-6.4 9.6
-9.6 9.6
-9.6 6.4
-9.6 3.2
-11 -0
-9.6 -3.2
-9.6 -6.4
-9.6 -9.6
-6.4 -9.6
-3.2 -9.6
0 -11
3.2 -9.6
6.4 -9.6
9.6 -9.6
9.6 -6.4
9.6 -3.2
14.2 0
12.8 3.2
12.8 6.4
6.4 12.8
3.2 12.8
-0 14.2
-3.2 12.8
-6.4 12.8
-12.8 6.4
-12.8 3.2
-14.2 -0
-12.8 -3.2
-12.8 -6.4
-6.4 -12.8
-3.2 -12.8
0 -14.2
3.2 -12.8
6.4 -12.8
12.8 -6.4
12.8 -3.2
