7.5 0
7.5 3.2
6.4 6.4
3.2 7.5
-0 7.5
-3.2 7.5
-6.4 6.4
-7.5 3.2
-7.5 -0
-7.5 -3.2
-6.4 -6.4
-3.2 -7.5
0 -7.5
3.2 -7.5
6.4 -6.4
7.5 -3.2
10.7 0
10.7 3.2
9.6 6.4
9.6 9.6
6.4 9.6
3.2 10.7
-0 10.7
-3.2 10.7
-6.4 9.6
-9.6 9.6
-9.6 6.4
-10.7 3.2
-10.7 -0
-10.7 -3.2
-9.6 -6.4
-9.6 -9.6
-6.4 -9.6
-3.2 -10.7
0 -10.7
3.2 -10.7
6.4 -9.6
9.6 -9.6
9.6 -6.4
10.7 -3.2
13.9 0
13.9 3.2
12.8 6.4
12.8 9.6
9.6 12.8
6.4 12.8
3.2 13.9
-0 13.9
-3.2 13.9
-6.4 12.8
-9.6 12.8
-12.8 9.6
-12.8 6.4
-13.9 3.2
-13.9 -0
-13.9 -3.2
-12.8 -6.4
-12.8 -9.6
-9.6 -12.8
-6.4 -12.8
-3.2 -13.9
0 -13.9
3.2 -13.9
6.4 -12.8
9.6 -12.8
12.8 -9.6
12.8 -6.4
13.9 -3.2
