#,"oTOF material assignment, derived from AliceO2"
#,"Detectors/Upgrades/ALICE3/IOTOF/simulation/src/{Detector,Layer}.cxx"
#,Every solid body of the AliceO2 model is silicon (sensor and chip are
#,"medSi); AIR$ appears only as the layer envelope, which has no CAD body."
#,columns: CAD | Mechanical/Part | part number | revision | name | mass | material
CAD,Mechanical/Part,Plate 1_25,,Plate 1_25,,Silicon
CAD,Mechanical/Part,Plate 2_25,,Plate 2_25,,Silicon
CAD,Mechanical/Part,Component1_26,,Component1_26,,Silicon
CAD,Mechanical/Part,Plate 1_26,,Plate 1_26,,Silicon
CAD,Mechanical/Part,Plate 2_26,,Plate 2_26,,Silicon
CAD,Mechanical/Part,Component1_27,,Component1_27,,Silicon
CAD,Mechanical/Part,Plate 1_27,,Plate 1_27,,Silicon
CAD,Mechanical/Part,Plate 2_27,,Plate 2_27,,Silicon
CAD,Mechanical/Part,Component1_28,,Component1_28,,Silicon
CAD,Mechanical/Part,Plate 1_28,,Plate 1_28,,Silicon
CAD,Mechanical/Part,Plate 2_28,,Plate 2_28,,Silicon
CAD,Mechanical/Part,Component1_29,,Component1_29,,Silicon
CAD,Mechanical/Part,Plate 1_29,,Plate 1_29,,Silicon
CAD,Mechanical/Part,Plate 2_29,,Plate 2_29,,Silicon
CAD,Mechanical/Part,Component1_30,,Component1_30,,Silicon
CAD,Mechanical/Part,Plate 1_30,,Plate 1_30,,Silicon
CAD,Mechanical/Part,Plate 2_30,,Plate 2_30,,Silicon
CAD,Mechanical/Part,Component1_31,,Component1_31,,Silicon
CAD,Mechanical/Part,Plate 1_31,,Plate 1_31,,Silicon
CAD,Mechanical/Part,Plate 2_31,,Plate 2_31,,Silicon
CAD,Mechanical/Part,Component1_32,,Component1_32,,Silicon
CAD,Mechanical/Part,Plate 1_32,,Plate 1_32,,Silicon
CAD,Mechanical/Part,Plate 2_32,,Plate 2_32,,Silicon
CAD,Mechanical/Part,Component1_33,,Component1_33,,Silicon
CAD,Mechanical/Part,Plate 1_33,,Plate 1_33,,Silicon
CAD,Mechanical/Part,Plate 2_33,,Plate 2_33,,Silicon
CAD,Mechanical/Part,Component1_34,,Component1_34,,Silicon
CAD,Mechanical/Part,Plate 1_34,,Plate 1_34,,Silicon
CAD,Mechanical/Part,Plate 2_34,,Plate 2_34,,Silicon
CAD,Mechanical/Part,Component1_35,,Component1_35,,Silicon
CAD,Mechanical/Part,Plate 1_35,,Plate 1_35,,Silicon
CAD,Mechanical/Part,Plate 2_35,,Plate 2_35,,Silicon
CAD,Mechanical/Part,Component1_36,,Component1_36,,Silicon
CAD,Mechanical/Part,Plate 1_36,,Plate 1_36,,Silicon
CAD,Mechanical/Part,Plate 2_36,,Plate 2_36,,Silicon
CAD,Mechanical/Part,Component1_37,,Component1_37,,Silicon
CAD,Mechanical/Part,Plate 1_37,,Plate 1_37,,Silicon
CAD,Mechanical/Part,Plate 2_37,,Plate 2_37,,Silicon
CAD,Mechanical/Part,Component1_38,,Component1_38,,Silicon
CAD,Mechanical/Part,Plate 1_38,,Plate 1_38,,Silicon
CAD,Mechanical/Part,Plate 2_38,,Plate 2_38,,Silicon
CAD,Mechanical/Part,Component1_39,,Component1_39,,Silicon
CAD,Mechanical/Part,Plate 1_39,,Plate 1_39,,Silicon
CAD,Mechanical/Part,Plate 2_39,,Plate 2_39,,Silicon
CAD,Mechanical/Part,Component1_40,,Component1_40,,Silicon
CAD,Mechanical/Part,Plate 1_40,,Plate 1_40,,Silicon
CAD,Mechanical/Part,Plate 2_40,,Plate 2_40,,Silicon
CAD,Mechanical/Part,Component1_41,,Component1_41,,Silicon
CAD,Mechanical/Part,Plate 1_41,,Plate 1_41,,Silicon
CAD,Mechanical/Part,Plate 2_41,,Plate 2_41,,Silicon
CAD,Mechanical/Part,Component1_42,,Component1_42,,Silicon
CAD,Mechanical/Part,Plate 1_42,,Plate 1_42,,Silicon
CAD,Mechanical/Part,Plate 2_42,,Plate 2_42,,Silicon
CAD,Mechanical/Part,Component1_43,,Component1_43,,Silicon
CAD,Mechanical/Part,Plate 1_43,,Plate 1_43,,Silicon
CAD,Mechanical/Part,Plate 2_43,,Plate 2_43,,Silicon
CAD,Mechanical/Part,Component1_44,,Component1_44,,Silicon
CAD,Mechanical/Part,Plate 1_44,,Plate 1_44,,Silicon
CAD,Mechanical/Part,Plate 2_44,,Plate 2_44,,Silicon
CAD,Mechanical/Part,Component1_45,,Component1_45,,Silicon
CAD,Mechanical/Part,Plate 1_45,,Plate 1_45,,Silicon
CAD,Mechanical/Part,Plate 2_45,,Plate 2_45,,Silicon
CAD,Mechanical/Part,Component1_46,,Component1_46,,Silicon
CAD,Mechanical/Part,Plate 1_46,,Plate 1_46,,Silicon
